12.4	16.1	14.3	14.4	0	72	73
9.8	16.1	14.2	14	0	76	82
11.5	17.9	15	15.1	0	67	64
4.2	19	12.1	11.7	0	73	77
4	26.2	16.1	16.8	0	66	66
7.4	26	17.6	17.9	0	67	66
8.8	28.3	19.5	20.3	0	65	66
11.1	28.2	20.7	21.1	0	67	67
13.4	28.5	21.8	22.1	0	71	67
14	29.5	22.3	23.5	0	75	74
17.4	28.3	23.2	24	0	74	73
15.4	27.5	21.3	21.3	0	69	63
10.4	23.5	18.1	18.9	0	65	60
10.2	24.3	18.1	18.8	0	69	68
13	21.6	17.8	18.2	0	60	56
9.2	25.2	17.8	17.9	0	70	71
9.3	17.1	11.7	11.8	0	44	38
2.1	17.7	11.3	11.7	0	58	60
0.2	18.3	12	13.9	0	50	44
5.2	16.6	12.1	13.1	0.3	49	41
6.8	12.5	7.8	7.8	0.2	73	73
4.4	8	6.3	6.3	2	70	70
3.4	5.9	4.9	4.9	0	77	77
-0.6	17.7	9	9.9	0	60	58
-0.2	20.5	11.3	12.9	0	56	51
2	21	13.3	14.3	0	58	59
3	19.9	12.4	13.3	0	60	57
3.4	21.1	12.9	13.4	0	59	56
3.5	23.4	14.5	15.2	0	59	58
8.1	17.1	13.4	14.4	0	67	62
11.1	21.4	16.3	16.7	0	58	55
4.9	24	15.5	15.9	0	57	58
6.6	27.1	18	18.5	0	54	53
9.4	26.4	18.6	19.1	0	57	54
10	28.4	20.3	20.9	0	59	55
11.3	19.5	16.6	17.6	0	55	47
11.3	18.1	14.4	14.8	0	50	46
5.4	20	14	14.6	0	47	39
10.6	14.6	12.6	12.6	0	35	34
6.2	14.4	11	11.5	0	47	46
6.7	13.4	10	9.5	0	53	49
1.4	20.9	11.9	12.8	0	55	52
3.2	23.7	14.9	16.2	0	54	50
5.4	23.5	15.9	16.9	0	51	48
11.3	22.1	16.5	16.4	0	55	55
9.2	17.8	14.8	15.1	0	64	64
8.2	23.7	17	18.5	0	54	47
6.4	27.3	19.2	21.3	0	48	41
4.4	21.3	14.4	14.4	0	48	48
9.4	14	12	12.6	0	44	40
2.9	20.4	13.2	14.6	0	53	49
5	22.8	14.5	15.8	0	58	54
7.2	29.6	19.6	20.5	0	53	49
10.6	31.1	22.1	22.7	0	55	52
13	32	22.8	23.9	0	53	48
15.6	27.1	21.4	21	0	53	54
12	29.8	22	23	0	59	55
14.5	33.9	24.8	25.2	0	56	52
14.4	35.5	26	26.8	0	53	48
17.2	26.5	21.3	21.4	0	55	54
16.9	22	19.6	19.9	0	56	54
16.3	28.6	22.7	23.4	0	49	43
12	31.7	23.3	24.7	0	53	47
15	35	26.3	26.8	0	53	50
16.6	32	23.1	22.6	0	55	50
14.4	24.3	18.6	18.1	0	50	51
12.2	27.6	20.9	23.1	3	58	49
13.1	22.4	15.3	15.5	0.3	80	83
12	14.8	13.6	13.9	0	59	57
10.1	13.4	12.2	12.4	0	67	66
5	24.8	16.4	17.7	0	50	44
5.8	26	18.5	19.9	0	42	36
8	28.8	19.9	21.5	0	42	36
8.6	30.6	21.8	23.3	0	43	37
10.6	32.6	23.4	24.8	0	42	37
12.3	35.1	25.5	27	0	41	35
13.7	35.9	27.1	29.4	0	42	33
17	30.8	25.2	26.9	0	46	38
17	27.6	23.5	24.6	0	56	49
17.2	29.8	22.3	20.6	0	56	52
12.3	28	22	23.3	0	46	37
10.6	32	22.6	24.1	0	45	37
11.8	32.6	24.1	25.4	0	47	38
16.6	29.4	25.4	25.5	0	39	37
18.8	30.5	24.6	24.2	0	40	37
12.3	33.4	24.7	26.6	0	43	37
14.1	36.4	27.2	28.8	0	42	36
17.8	39.2	30.5	31.9	0	41	37
22	35.3	30	31.1	0	48	44
20	30.3	23.1	23.6	0	60	60
18.2	23.7	21.1	22.1	0	71	67
19.1	28.8	25.3	27	0	59	52
21.7	31.2	27	27.8	0	47	42
19.2	33.6	27.5	28	0	58	56
22.8	29.4	25.8	26	0	39	37
20.6	25	22.6	22.2	0	41	40
18.2	29	23.4	23.2	0	45	41
15.5	29.6	23.5	25.1	0	47	42
14.2	24.4	16.3	16.5	0	62	59
12	22.5	18.5	19.7	0	55	50
7.5	32.5	23.4	24.6	0	46	39
10.8	34.4	25.3	27	0	43	37
16.2	37	29.4	31.2	0	45	40
22	30.2	23.9	23.8	0	55	54
19	22.7	21.2	21.7	0	55	52
18.4	30.5	24.7	26.4	0	45	35
17.6	32	25.5	26.9	0	41	37
18.4	31.2	26.2	26.9	0	45	44
18.3	32.7	27	28.3	0.2	50	48
18.8	37.3	29.9	32	0	46	37
23.4	34.3	29.5	30	0	33	32
17.6	31.6	26.4	28.1	0.2	53	48
17.9	27.8	19.2	18.7	3	85	89
14	18	16	15.6	0.3	85	86
10.4	30.6	22	24.6	0	58	47
15.5	35.1	27.6	29.5	0	46	39
18.3	37.7	30.3	32.3	0	43	36
23.2	38	32.2	33.5	0	45	39
22	32	23.5	23.1	0	66	68
19	29.7	25.4	27	0	63	54
19.1	33.4	27.4	28.3	0	56	51
17.2	28	18.4	18.4	0	77	81
17.8	27.6	23.5	24.9	0	59	53
21	34.5	28.6	29.4	0	46	35
